[ 2025-12-21 18:11:24,280 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-21 18:11:28,303 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-21 18:11:28,303 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-21 18:11:28,303 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-21 18:11:28,382 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-21 18:11:28,382 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-21 18:11:28,420 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-21 18:11:28,526 ] 32 root - INFO - Required number of columns:2
[ 2025-12-21 18:11:28,527 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-21 18:11:28,527 ] 32 root - INFO - Required number of columns:2
[ 2025-12-21 18:11:28,527 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-21 18:11:28,723 ] 28 root - INFO - data Validation Completed
[ 2025-12-21 18:11:28,723 ] 31 root - INFO - data Transformation started
[ 2025-12-21 18:11:28,723 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-21 18:11:28,723 ] 65 root - INFO - Starting data transformation
[ 2025-12-21 18:11:28,769 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-21 18:11:28,769 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-21 18:11:28,797 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-21 18:11:28,802 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-21 18:11:28,802 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-21 18:11:28,805 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-21 18:11:28,810 ] 35 root - INFO - data Transformation completed
[ 2025-12-21 18:11:28,810 ] 37 root - INFO - Model Training sstared
